batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
64,16,1,98,0.02149486541748047,0.07147073745727539
64,16,1,99,0.02328968048095703,0.07294106483459473
64,16,1,100,0.026708602905273438,0.07330083847045898
64,16,1,101,0.026053428649902344,0.07292437553405762
64,16,1,102,0.03260159492492676,0.07449054718017578
64,16,1,103,0.020194053649902344,0.07787108421325684
64,16,1,104,0.018157482147216797,0.07585358619689941
64,16,1,105,0.02418971061706543,0.07528877258300781
64,16,1,106,0.03235340118408203,0.0729818344116211
64,16,1,107,0.029095172882080078,0.07421636581420898
64,16,1,108,0.028371572494506836,0.07579183578491211
64,16,1,109,0.026676177978515625,0.07693362236022949
64,16,1,110,0.013894081115722656,0.07768797874450684
64,16,1,111,0.02460956573486328,0.07702493667602539
64,16,1,112,0.04224705696105957,0.07205390930175781
64,16,1,113,0.019681930541992188,0.07237005233764648
64,16,1,114,0.03165006637573242,0.07325410842895508
64,16,1,115,0.015180349349975586,0.07280397415161133
64,16,1,116,0.02310490608215332,0.07278227806091309
64,16,1,117,0.03319406509399414,0.07728338241577148
64,16,1,118,0.023494482040405273,0.07567238807678223
64,16,1,119,0.02531599998474121,0.07553672790527344
64,16,1,120,0.021747589111328125,0.07482028007507324
64,16,1,121,0.02446913719177246,0.07554841041564941
64,16,1,122,0.034430503845214844,0.07910394668579102
64,16,1,123,0.017526626586914062,0.07353734970092773
64,16,1,124,0.03448772430419922,0.29122471809387207
64,16,1,125,0.0025959014892578125,0.07361507415771484
64,16,1,126,0.0025076866149902344,0.07350659370422363
64,16,1,127,0.002458333969116211,0.06893634796142578
64,16,1,128,0.0024781227111816406,0.06902289390563965
64,16,1,129,0.002440929412841797,0.07048225402832031
64,16,1,130,0.0024199485778808594,0.06719565391540527
64,16,1,131,0.002796173095703125,0.07200336456298828
64,16,1,132,0.020114898681640625,0.07612729072570801
64,16,1,133,0.0182650089263916,0.073089599609375
64,16,1,134,0.02597832679748535,0.07641220092773438
64,16,1,135,0.02740764617919922,0.07350754737854004
64,16,1,136,0.024715662002563477,0.07714366912841797
64,16,1,137,0.020996570587158203,0.07671356201171875
64,16,1,138,0.025562524795532227,0.07903409004211426
64,16,1,139,0.021654844284057617,0.07425284385681152
64,16,1,140,0.02786874771118164,0.07604455947875977
64,16,1,141,0.023560523986816406,0.07959103584289551
64,16,1,142,0.024816036224365234,0.07649397850036621
64,16,1,143,0.024228334426879883,0.07308530807495117
64,16,1,144,0.0089263916015625,0.07283520698547363
64,16,1,145,0.02064824104309082,0.07559847831726074
64,16,1,146,0.016234636306762695,0.07506299018859863
64,16,1,147,0.02827143669128418,0.07590126991271973
64,16,1,148,0.025159597396850586,0.07430171966552734
64,16,1,149,0.034332275390625,0.07457971572875977
64,16,1,150,0.008618593215942383,0.0754847526550293
64,16,1,151,0.013849973678588867,0.07360053062438965
64,16,1,152,0.00999903678894043,0.07615065574645996
64,16,1,153,0.0060634613037109375,0.0745081901550293
64,16,1,154,0.03447580337524414,0.07299637794494629
64,16,1,155,0.01809978485107422,0.07557821273803711
64,16,1,156,0.033638715744018555,0.07497763633728027
64,16,1,157,0.014664411544799805,0.0765838623046875
64,16,1,158,0.007482051849365234,0.06854701042175293
64,16,1,159,0.007314205169677734,0.0757741928100586
64,16,1,160,0.016082286834716797,0.0727691650390625
64,16,1,161,0.017057418823242188,0.0749664306640625
64,16,1,162,0.0074727535247802734,0.07173514366149902
64,16,1,163,0.026318073272705078,0.07493996620178223
64,16,1,164,0.026648521423339844,0.07771468162536621
64,16,1,165,0.018483877182006836,0.07339310646057129
64,16,1,166,0.02145075798034668,0.07257819175720215
64,16,1,167,0.028833866119384766,0.07559037208557129
64,16,1,168,0.024422883987426758,0.07500767707824707
