batch_size,epoch,total_time,data_time,data_whole_time,training_time
512,0,23.644651412963867,20.82343101501465,21.14330792427063,2.5013434886932373
512,0,20.835976362228394,18.032009840011597,18.33003878593445,2.5059375762939453
512,0,20.329875230789185,17.451188325881958,17.830798387527466,2.4990768432617188
512,0,19.721890211105347,16.905667781829834,17.221787929534912,2.5001022815704346
512,1,19.15367078781128,16.760975122451782,17.076964378356934,2.0767064094543457
512,2,19.70128107070923,17.297635793685913,17.61463761329651,2.0866434574127197
512,3,18.78553795814514,16.38141393661499,16.704291343688965,2.0812466144561768
512,4,18.401990175247192,16.00440287590027,16.322360277175903,2.079629898071289
512,5,18.73944640159607,16.284522533416748,16.650773286819458,2.0886731147766113
512,6,18.91751980781555,16.531705856323242,16.838234901428223,2.079284906387329
512,7,19.412920475006104,17.00622296333313,17.321731328964233,2.09118914604187
512,8,18.65908145904541,16.262630939483643,16.579532861709595,2.0795485973358154
512,9,18.86561417579651,16.467248916625977,16.777689218521118,2.0879249572753906
256,0,19.035707712173462,16.24126362800598,16.61527919769287,2.420428514480591
256,1,18.58198571205139,16.142130851745605,16.478267431259155,2.1037182807922363
256,2,19.610584497451782,17.152412176132202,17.507415771484375,2.1031687259674072
256,3,18.3295419216156,15.871416330337524,16.226196765899658,2.1033451557159424
256,4,18.84753108024597,16.390265703201294,16.744916677474976,2.102614402770996
256,5,19.3685040473938,16.872997760772705,17.264248847961426,2.104255199432373
256,6,18.69464087486267,16.237311601638794,16.5917911529541,2.1028497219085693
256,7,18.805092096328735,16.339523315429688,16.702263593673706,2.1028285026550293
256,8,19.77901530265808,17.284245252609253,17.67642593383789,2.1025893688201904
256,9,19.57158589363098,17.107752799987793,17.468722581863403,2.102863311767578
64,128,0,4.893784761428833,1.6359732151031494,2.2784311771392822,2.615353584289551
16,1,0,17.313411712646484,12.838154792785645,13.885494470596313,3.427917242050171
16,2,0,8.9268958568573,4.699985504150391,5.5858306884765625,3.3410651683807373
16,4,0,4.3013834953308105,0.6133337020874023,1.1805665493011475,3.120816946029663
16,8,0,4.203515291213989,0.4771106243133545,1.1115527153015137,3.0919625759124756
16,16,0,4.595761299133301,0.682750940322876,1.4111988544464111,3.1845624446868896
16,32,0,4.652816295623779,0.7906708717346191,1.4821228981018066,3.1706933975219727
16,40,0,4.750645160675049,0.9174799919128418,1.60475492477417,3.145890235900879
16,64,0,4.987850904464722,1.0919415950775146,1.7904469966888428,3.197403907775879
16,128,0,6.308058261871338,2.2163121700286865,2.8978829383850098,3.410175323486328
32,1,0,17.100752592086792,13.494540452957153,14.327393054962158,2.773359537124634
32,2,0,8.264482736587524,4.723165512084961,5.504729509353638,2.7597532272338867
32,4,0,4.57103157043457,1.0894594192504883,1.7182109355926514,2.852820634841919
32,8,0,3.8334362506866455,0.4808530807495117,1.0060880184173584,2.827348232269287
32,16,0,4.084152460098267,0.5793616771697998,1.193526268005371,2.8906261920928955
32,32,0,4.195375204086304,0.749415397644043,1.3965649604797363,2.7988102436065674
32,40,0,4.441698312759399,0.8965306282043457,1.5328388214111328,2.9088594913482666
32,64,0,4.731989860534668,1.255178451538086,1.8870348930358887,2.8449549674987793
32,128,0,5.524655818939209,2.0788161754608154,2.6926634311676025,2.8319923877716064
256,1,0,18.801324367523193,15.929725885391235,16.45509672164917,2.3462276458740234
256,2,0,9.238758563995361,6.365565061569214,6.898080348968506,2.3406782150268555
