batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
128,4,1,0.1843569185219559,0.055686427097694544,0.7680151184614387,0.0061359405517578125,1.5959980487823486,0.061532020568847656,1.0630412101745605,0.038038015365600586,0.5194203853607178,0.04509568214416504,0.3191077709197998,0.006035168965657552,0.005951642990112305,0.0069277286529541016,0.006043672561645508,0.006508946418762207
128,4,2,0.16194725971595914,0.055858429740456975,0.7435400797845803,0.006094694137573242,1.6844971179962158,0.006181478500366211,1.1853063106536865,0.044295310974121094,0.5288105010986328,0.04489421844482422,0.32063937187194824,0.0060585620356541055,0.005944728851318359,0.008748769760131836,0.005957365036010742,0.007853865623474121
128,4,3,0.15786578608494178,0.05559986245398428,0.7395371909506766,0.006093740463256836,1.6199729442596436,0.0062062740325927734,1.120700716972351,0.04386448860168457,0.5292305946350098,0.04443764686584473,0.3218395709991455,0.0060167686611998315,0.0059452056884765625,0.007105350494384766,0.005964756011962891,0.006620168685913086
128,4,4,0.1589215362773222,0.056044606601490694,0.7392863552792784,0.006077766418457031,1.6051969528198242,0.006133556365966797,1.106205701828003,0.04236578941345215,0.5165927410125732,0.04605460166931152,0.3173987865447998,0.00599373555650898,0.005942344665527344,0.00688624382019043,0.00595545768737793,0.006474852561950684
128,8,1,0.0637954824111041,0.05559270054686303,0.5343534077703863,0.006097316741943359,2.0707132816314697,0.006407022476196289,1.1747993230819702,0.039044857025146484,0.45171189308166504,0.04646778106689453,0.2851907014846802,0.006033242917528339,0.005950212478637695,0.0073544979095458984,0.005972623825073242,0.007126808166503906
128,8,2,0.04284113996169146,0.0673979123433431,0.3886203579031941,0.00612640380859375,1.870615005493164,0.006217002868652344,0.938709020614624,0.03875231742858887,1.0697736740112305,0.04466986656188965,0.6271116733551025,0.005989986307480756,0.005953550338745117,0.007047891616821289,0.005964994430541992,0.0065441131591796875
128,8,3,0.038356935276704675,0.06604292813469381,0.3674040752865279,0.006117820739746094,1.6395809650421143,0.006199359893798828,0.8246387243270874,0.04102611541748047,0.8734581470489502,0.04503369331359863,0.5288543701171875,0.0060422607496672985,0.005951881408691406,0.008949041366577148,0.0059621334075927734,0.00793766975402832
128,8,4,0.03514031802906709,0.07208447830349791,0.3277256682314136,0.0061495304107666016,1.4776885509490967,0.006250143051147461,0.7424088716506958,0.04411888122558594,1.2936656475067139,0.04469490051269531,0.738440990447998,0.005994114221311083,0.005954265594482422,0.007123470306396484,0.005966663360595703,0.0065915584564208984
128,16,1,0.0353545534844492,0.07663823109047085,0.3156859936882629,0.006062507629394531,1.4869964122772217,0.006279945373535156,0.7469276189804077,0.03958010673522949,1.5458314418792725,0.04642963409423828,0.8304640054702759,0.005997966317569508,0.005945444107055664,0.007049083709716797,0.005974769592285156,0.006559014320373535
128,16,2,0.04947278546352012,0.07824191860124177,0.38736953450898914,0.006137371063232422,2.2054808139801025,0.006314277648925781,1.1061680316925049,0.038434743881225586,1.5263571739196777,0.046317100524902344,0.8328328132629395,0.006006642883899165,0.005955696105957031,0.00722813606262207,0.005982875823974609,0.00663304328918457
