batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,data_whole_time,training_time
256,1,1,1,13.631499290466309,10.959482908248901,11.442119121551514,2.189380168914795
256,2,1,0,7.568888187408447,4.3420250415802,4.8249640464782715,2.743924140930176
256,2,1,1,6.940226316452026,4.267353534698486,4.7499072551727295,2.190319061279297
256,4,1,0,5.166447162628174,1.912940263748169,2.395641803741455,2.7708053588867188
256,4,1,1,4.322080135345459,1.6452512741088867,2.1277899742126465,2.1942901611328125
256,8,1,0,5.367725849151611,2.1233041286468506,2.606006383895874,2.7617194652557373
256,8,1,1,4.092817068099976,1.4151551723480225,1.8974032402038574,2.195413827896118
256,16,1,0,5.613906145095825,2.2373170852661133,2.720038652420044,2.8938674926757812
256,16,1,1,3.936622381210327,1.2622427940368652,1.744556188583374,2.192066192626953
256,32,1,0,5.5746777057647705,2.1099350452423096,2.6260759830474854,2.948601722717285
256,32,1,1,4.325869083404541,1.6172950267791748,2.099658250808716,2.226210832595825
512,0,1,0,16.054347276687622,12.831713914871216,13.380948543548584,2.673398733139038
512,0,1,1,14.857138633728027,12.15623688697815,12.702645063400269,2.154493570327759
512,1,1,0,14.54958963394165,11.395614385604858,11.878148317337036,2.6714413166046143
512,1,1,1,13.873615026473999,11.236391305923462,11.71864652633667,2.154968500137329
512,2,1,0,8.650219202041626,5.431087493896484,5.913640260696411,2.736578941345215
512,2,1,1,8.30541181564331,5.662842750549316,6.145061492919922,2.1603503227233887
512,4,1,0,6.4676172733306885,3.259509563446045,3.8088536262512207,2.6587636470794678
512,4,1,1,5.480788946151733,2.8409078121185303,3.323012113571167,2.1577768325805664
512,8,1,0,6.412106037139893,3.1957406997680664,3.678152322769165,2.7339537143707275
512,8,1,1,5.455578804016113,2.75327467918396,3.235344886779785,2.220233917236328
512,16,1,0,6.466502904891968,2.884992837905884,3.3673624992370605,3.0991404056549072
512,16,1,1,5.5113396644592285,2.7966177463531494,3.2786669731140137,2.232672691345215
512,32,1,0,6.490577459335327,3.0773122310638428,3.6215758323669434,2.869001626968384
512,32,1,1,5.422621488571167,2.72082781791687,3.2028839588165283,2.2197375297546387
16,0,1,0,16.651512384414673,12.441520690917969,12.956391096115112,3.6951212882995605
16,0,1,1,15.77757978439331,12.22946286201477,12.736932039260864,3.0406477451324463
16,1,1,0,13.755318403244019,9.578366994857788,10.074260950088501,3.6810574531555176
16,1,1,1,13.209796905517578,9.680575847625732,10.17692756652832,3.032869338989258
16,2,1,0,7.152809143066406,3.161942958831787,3.653153657913208,3.4996554851531982
16,2,1,1,6.3843910694122314,3.0344643592834473,3.526190757751465,2.8582003116607666
16,4,1,0,4.217987537384033,0.242842435836792,0.730778694152832,3.487208843231201
16,4,1,1,3.4600343704223633,0.12055850028991699,0.6081483364105225,2.851886034011841
16,8,1,0,4.2746453285217285,0.28667283058166504,0.7755892276763916,3.499056100845337
16,8,1,1,3.4413552284240723,0.10335850715637207,0.5909712314605713,2.850383996963501
16,16,1,0,4.410644292831421,0.41419458389282227,0.9021284580230713,3.5085158348083496
16,16,1,1,3.4695613384246826,0.12880325317382812,0.6169369220733643,2.8526244163513184
16,32,1,0,4.59728741645813,0.5297601222991943,1.0170624256134033,3.5802249908447266
16,32,1,1,3.5527093410491943,0.22405648231506348,0.7110903263092041,2.8416190147399902

//在非禁用private-data的情况下测试
16,8,1,0,3.962740182876587,0.40175533294677734,0.40180087089538574,3.560939311981201
//这是未优化的版本
16,8,1,0,4.260578155517578,0.2680840492248535,0.7556993961334229,3.5048787593841553
//在非禁用private-data的情况下测试 优化版本的测试
16,0,1,0,16.76348328590393,13.091822624206543,13.091890811920166,3.6715924739837646
