model,batchsize,blocknum,threadnum,SMACT,SMOCC,DRAMA,GPU_Util,index
mobilenet_v2,16,0,2,0.691,0.333,0.349,37,95th
mobilenet_v2,16,0,2,0.755,0.357,0.384,38,99th
mobilenet_v2,32,0,1,0.120162,0.0632137,0.0663499,14.9749,mean
mobilenet_v2,32,0,1,0.809,0.427,0.437,27,95th
mobilenet_v2,32,0,1,0.872,0.473,0.568,27,99th
resnet18,32,0,2,0.196307,0.0720733,0.100637,22.829,mean
resnet18,32,0,2,0.886,0.307,0.45,40,95th
resnet18,32,0,2,0.909,0.354,0.503,40,99th
resnet18,256,0,2,0.169097,0.0700659,0.0868823,18.871,mean
resnet18,256,0,2,0.953,0.419,0.539,99,95th
resnet18,256,0,2,0.976,0.555,0.678,99,99th
mobilenet_v2,64,0,8,0.794782,0.439104,0.486613,95.2927,mean
mobilenet_v2,64,0,8,0.924,0.607,0.746,97,95th
mobilenet_v2,64,0,8,0.936,0.644,0.77,98,99th
resnet50,64,0,2,0.577477,0.248388,0.31282,63.7071,mean
resnet50,64,0,2,0.945,0.468,0.643,99,95th
resnet50,64,0,2,0.952,0.498,0.694,99,99th
resnet18,16,0,8,0.547695,0.203014,0.279392,66.5552,mean
resnet18,16,0,8,0.855,0.305,0.425,72,95th
resnet18,16,0,8,0.875,0.312,0.439,74,99th
resnet18,128,0,2,0.176446,0.0708595,0.093166,19.7979,mean
resnet18,128,0,2,0.939,0.404,0.535,69,95th
resnet18,128,0,2,0.955,0.551,0.62,94,99th
resnet18,256,0,8,0.711052,0.295219,0.364896,79.8592,mean
resnet18,256,0,8,0.974,0.513,0.667,99,95th
resnet18,256,0,8,0.997,0.845,0.751,100,99th
shufflenet_v2_x1_0,64,0,2,0.0808901,0.0384645,0.0439776,11.1765,mean
shufflenet_v2_x1_0,64,0,2,0.501,0.243,0.292,38,95th
shufflenet_v2_x1_0,64,0,2,0.761,0.358,0.419,40,99th
resnet50,64,0,4,0.886518,0.381427,0.480344,98.0368,mean
resnet50,64,0,4,0.948,0.473,0.666,99,95th
resnet50,64,0,4,0.953,0.506,0.704,99,99th
resnet18,128,0,16,0.855611,0.344072,0.451248,96.6376,mean
resnet18,128,0,16,0.955,0.552,0.613,99,95th
resnet18,128,0,16,0.968,0.62,0.678,99,99th
mobilenet_v2,64,0,2,0.22196,0.122682,0.136001,26.565,mean
mobilenet_v2,64,0,2,0.911,0.529,0.606,77,95th
mobilenet_v2,64,0,2,0.926,0.616,0.753,90,99th
mobilenet_v2,128,0,4,0.467218,0.26537,0.297256,55.3196,mean
mobilenet_v2,128,0,4,0.948,0.613,0.746,99,95th
mobilenet_v2,128,0,4,0.964,0.679,0.793,99,99th
mobilenet_v2,64,0,16,0.79397,0.438717,0.485689,95.1219,mean
mobilenet_v2,64,0,16,0.924,0.605,0.745,98,95th
mobilenet_v2,64,0,16,0.936,0.645,0.768,98,99th
resnet18,128,0,8,0.736111,0.296092,0.388526,83.1377,mean
resnet18,128,0,8,0.955,0.529,0.606,98,95th
resnet18,128,0,8,0.965,0.615,0.678,99,99th
resnet18,256,0,1,0.0859527,0.0356266,0.0441902,9.58126,mean
resnet18,256,0,1,0.932,0.37,0.477,82,95th
resnet18,256,0,1,0.964,0.473,0.616,99,99th
mobilenet_v2,256,0,8,0.836339,0.481072,0.544924,98.5148,mean
mobilenet_v2,256,0,8,0.977,0.704,0.792,100,95th
mobilenet_v2,256,0,8,0.999,0.781,0.825,100,99th
shufflenet_v2_x1_0,16,0,2,0.0851051,0.03222,0.0294071,14.2647,mean
shufflenet_v2_x1_0,16,0,2,0.248,0.101,0.108,16,95th
shufflenet_v2_x1_0,16,0,2,0.275,0.114,0.114,17,99th
shufflenet_v2_x1_0,16,0,8,0.13361,0.0505413,0.0460789,22.3187,mean
shufflenet_v2_x1_0,16,0,8,0.261,0.108,0.112,24,95th
shufflenet_v2_x1_0,16,0,8,0.278,0.115,0.116,26,99th
mobilenet_v2,256,0,4,0.477246,0.274262,0.310788,55.9875,mean
mobilenet_v2,256,0,4,0.963,0.667,0.769,100,95th
mobilenet_v2,256,0,4,0.99,0.757,0.814,100,99th
resnet50,128,0,4,0.911556,0.412675,0.503829,98.9673,mean
resnet50,128,0,4,0.963,0.57,0.688,100,95th
resnet50,128,0,4,0.972,0.618,0.713,100,99th
resnet50,64,0,8,0.886116,0.381165,0.479971,98.0108,mean
resnet50,64,0,8,0.948,0.474,0.666,99,95th
resnet50,64,0,8,0.953,0.507,0.703,99,99th
mobilenet_v2,16,0,8,0.436081,0.217859,0.227473,55.8734,mean
mobilenet_v2,16,0,8,0.719,0.346,0.43,85,95th
mobilenet_v2,16,0,8,0.827,0.392,0.464,88,99th
resnet18,32,0,16,0.783413,0.291423,0.414159,91.1889,mean
resnet18,32,0,16,0.909,0.356,0.509,95,95th
resnet18,32,0,16,0.913,0.365,0.523,95,99th
mobilenet_v2,16,0,1,0.124743,0.0617361,0.0617793,16.2474,mean
mobilenet_v2,16,0,1,0.589,0.284,0.293,22,95th
mobilenet_v2,16,0,1,0.737,0.348,0.371,24,99th
resnet50,256,0,4,0.926265,0.420849,0.514739,99.4381,mean
resnet50,256,0,4,0.986,0.671,0.746,100,95th
resnet50,256,0,4,0.993,0.828,0.832,100,99th
shufflenet_v2_x1_0,128,0,4,0.16176,0.0801742,0.0986307,21.4351,mean
shufflenet_v2_x1_0,128,0,4,0.867,0.418,0.5,81,95th
shufflenet_v2_x1_0,128,0,4,0.901,0.466,0.624,95,99th
