开始GDS批量测试
GPU设备: 0
基础目录: /mnt/beegfs
======================================
正在测试: 1KB 文件大小
目录路径: /mnt/beegfs/test_dir_1KB_10428_1000
输出文件: output_multi.csv
设置IOSIZE: 32KB = 32768 字节
使用线程数: 1
找到 1000 个文件
预分配文件资源...
资源预分配完成，耗时: 2308 ms
成功分配资源文件数: 1000/1000
开始多线程读操作测试...
完成: file_1160.txt (1 KB, 9.67 ms)
完成: file_1414.txt (1 KB, 16.48 ms)
完成: file_10388.txt (1 KB, 9.37 ms)
完成: file_10076.txt (1 KB, 0.31 ms)
完成: file_10108.txt (1 KB, 0.57 ms)
完成: file_10139.txt (1 KB, 0.51 ms)
完成: file_1472.txt (1 KB, 9.81 ms)
完成: file_10347.txt (1 KB, 0.63 ms)
完成: file_10287.txt (1 KB, 42.81 ms)
完成: file_11.txt (1 KB, 0.77 ms)
完成: file_10296.txt (1 KB, 25.97 ms)
完成: file_119.txt (1 KB, 23.51 ms)
完成: file_10073.txt (1 KB, 10.02 ms)
完成: file_1117.txt (1 KB, 18.68 ms)
完成: file_10169.txt (1 KB, 43.25 ms)
完成: file_1445.txt (1 KB, 10.25 ms)
完成: file_1170.txt (1 KB, 10.07 ms)
完成: file_10034.txt (1 KB, 10.09 ms)
完成: file_1158.txt (1 KB, 9.86 ms)
完成: file_10142.txt (1 KB, 9.59 ms)
完成: file_1071.txt (1 KB, 9.88 ms)
完成: file_1187.txt (1 KB, 1.02 ms)
完成: file_1213.txt (1 KB, 1.07 ms)
完成: file_10252.txt (1 KB, 7.66 ms)
完成: file_1154.txt (1 KB, 9.60 ms)
完成: file_1151.txt (1 KB, 9.80 ms)
完成: file_10363.txt (1 KB, 18.93 ms)
完成: file_10293.txt (1 KB, 9.30 ms)
完成: file_1364.txt (1 KB, 0.61 ms)
完成: file_1433.txt (1 KB, 0.68 ms)
完成: file_1087.txt (1 KB, 9.51 ms)
完成: file_1137.txt (1 KB, 9.63 ms)
完成: file_1304.txt (1 KB, 9.65 ms)
完成: file_10096.txt (1 KB, 8.88 ms)
完成: file_1270.txt (1 KB, 18.94 ms)
完成: file_1114.txt (1 KB, 0.79 ms)
完成: file_1403.txt (1 KB, 17.54 ms)
完成: file_10044.txt (1 KB, 17.59 ms)
完成: file_10164.txt (1 KB, 16.26 ms)
完成: file_1428.txt (1 KB, 0.69 ms)
完成: file_1162.txt (1 KB, 19.11 ms)
完成: file_10173.txt (1 KB, 7.49 ms)
完成: file_1028.txt (1 KB, 9.93 ms)
完成: file_10130.txt (1 KB, 0.71 ms)
完成: file_10185.txt (1 KB, 78.01 ms)
完成: file_1306.txt (1 KB, 19.24 ms)
完成: file_103.txt (1 KB, 0.54 ms)
完成: file_1186.txt (1 KB, 19.63 ms)
完成: file_10147.txt (1 KB, 27.80 ms)
完成: file_10297.txt (1 KB, 19.34 ms)
完成: file_10129.txt (1 KB, 19.00 ms)
完成: file_1150.txt (1 KB, 10.21 ms)
完成: file_1248.txt (1 KB, 34.46 ms)
完成: file_10032.txt (1 KB, 18.82 ms)
完成: file_1455.txt (1 KB, 19.63 ms)
完成: file_10222.txt (1 KB, 0.44 ms)
完成: file_101.txt (1 KB, 0.49 ms)
完成: file_10123.txt (1 KB, 27.72 ms)
完成: file_10121.txt (1 KB, 9.76 ms)
完成: file_1289.txt (1 KB, 0.67 ms)
完成: file_1344.txt (1 KB, 0.62 ms)
完成: file_10288.txt (1 KB, 15.36 ms)
完成: file_10370.txt (1 KB, 9.52 ms)
完成: file_10196.txt (1 KB, 9.04 ms)
完成: file_1303.txt (1 KB, 34.41 ms)
完成: file_1284.txt (1 KB, 66.02 ms)
完成: file_1447.txt (1 KB, 0.69 ms)
完成: file_1350.txt (1 KB, 16.30 ms)
完成: file_104.txt (1 KB, 27.50 ms)
完成: file_10068.txt (1 KB, 8.88 ms)
完成: file_1110.txt (1 KB, 0.52 ms)
完成: file_10375.txt (1 KB, 0.71 ms)
完成: file_125.txt (1 KB, 0.85 ms)
完成: file_10186.txt (1 KB, 0.40 ms)
完成: file_10181.txt (1 KB, 10.01 ms)
完成: file_1457.txt (1 KB, 9.90 ms)
完成: file_1045.txt (1 KB, 25.57 ms)
完成: file_1123.txt (1 KB, 19.60 ms)
完成: file_10016.txt (1 KB, 27.68 ms)
完成: file_10272.txt (1 KB, 18.99 ms)
完成: file_1060.txt (1 KB, 18.96 ms)
完成: file_132.txt (1 KB, 18.91 ms)
完成: file_10029.txt (1 KB, 0.59 ms)
完成: file_10189.txt (1 KB, 0.41 ms)
完成: file_1176.txt (1 KB, 9.71 ms)
完成: file_1030.txt (1 KB, 0.79 ms)
完成: file_1502.txt (1 KB, 1.11 ms)
完成: file_10423.txt (1 KB, 0.85 ms)
完成: file_1219.txt (1 KB, 23.95 ms)
完成: file_1293.txt (1 KB, 0.68 ms)
完成: file_10362.txt (1 KB, 10.20 ms)
完成: file_1369.txt (1 KB, 0.80 ms)
完成: file_1406.txt (1 KB, 16.58 ms)
完成: file_1116.txt (1 KB, 9.53 ms)
完成: file_10027.txt (1 KB, 9.28 ms)
完成: file_10063.txt (1 KB, 0.30 ms)
完成: file_10236.txt (1 KB, 0.44 ms)
完成: file_10179.txt (1 KB, 7.32 ms)
