测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/nvme0/test_dir_1KB_10428,8,32KB,17917.53,0.58,17.50,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9044.23,1.15,8.83,10428,10428,10.18,0.52
/mnt/nvme0/test_dir_1KB_10428,32,32KB,7900.00,1.32,7.71,10428,10428,10.18,1.16
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8668.33,1.20,8.47,10428,10428,10.18,2.00
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7960.31,1.31,7.77,10428,10428,10.18,4.44
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7730.17,1.35,7.55,10428,10428,10.18,8.99
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7645.16,1.36,7.47,10428,10428,10.18,16.86
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7060.26,1.48,6.89,10428,10428,10.18,35.98
/mnt/nvme0/test_dir_1KB_10428,1,32KB,16983.71,0.61,16.59,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,29457.63,0.35,28.77,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,16873.79,0.62,16.48,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,8,32KB,17236.36,0.60,16.83,10428,10428,10.18,0.11
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9163.44,1.14,8.95,10428,10428,10.18,0.51
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8690.00,1.20,8.49,10428,10428,10.18,1.03
/mnt/nvme0/test_dir_1KB_10428,64,32KB,7753.16,1.34,7.57,10428,10428,10.18,2.34
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8430.07,1.24,8.23,10428,10428,10.18,4.05
/mnt/nvme0/test_dir_1KB_10428,256,32KB,8269.63,1.26,8.08,10428,10428,10.18,8.27
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7611.68,1.37,7.43,10428,10428,10.18,17.74
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,9171.50,1.14,8.96,10428,10428,10.18,26.61
/mnt/nvme0/test_dir_1KB_10428,1,32KB,26945.74,0.39,26.31,10428,10428,10.18,0.01
/mnt/nvme0/test_dir_1KB_10428,2,32KB,25007.19,0.42,24.42,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,4,32KB,16192.55,0.64,15.81,10428,10428,10.18,0.04
/mnt/nvme0/test_dir_1KB_10428,8,32KB,13166.67,0.79,12.86,10428,10428,10.18,0.09
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9809.97,1.06,9.58,10428,10428,10.18,0.45
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8478.05,1.23,8.28,10428,10428,10.18,1.08
/mnt/nvme0/test_dir_1KB_10428,64,32KB,6517.50,1.60,6.36,10428,10428,10.18,3.07
/mnt/nvme0/test_dir_1KB_10428,128,32KB,6192.40,1.68,6.05,10428,10428,10.18,5.68
/mnt/nvme0/test_dir_1KB_10428,256,32KB,6155.84,1.69,6.01,10428,10428,10.18,10.89
/mnt/nvme0/test_dir_1KB_10428,512,32KB,5658.17,1.84,5.53,10428,10428,10.18,22.06
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,5453.97,1.91,5.33,10428,10428,10.18,43.08
/mnt/nvme0/test_dir_1KB_10428,1,32KB,2662.92,3.92,2.60,10428,10428,10.18,0.19
/mnt/nvme0/test_dir_1KB_10428,2,32KB,4422.39,2.36,4.32,10428,10428,10.18,0.22
/mnt/nvme0/test_dir_1KB_10428,4,32KB,17322.26,0.60,16.92,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,8,32KB,17795.22,0.59,17.38,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,10345.24,1.01,10.10,10428,10428,10.18,0.42
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8289.35,1.26,8.10,10428,10428,10.18,1.12
/mnt/nvme0/test_dir_1KB_10428,64,32KB,7930.04,1.31,7.74,10428,10428,10.18,2.30
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8282.76,1.26,8.09,10428,10428,10.18,4.23
/mnt/nvme0/test_dir_1KB_10428,256,32KB,10706.37,0.97,10.46,10428,10428,10.18,6.08
/mnt/nvme0/test_dir_1KB_10428,512,32KB,9682.45,1.08,9.46,10428,10428,10.18,12.99
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7793.72,1.34,7.61,10428,10428,10.18,29.17
/mnt/nvme0/test_dir_1KB_10428,1,32KB,15634.18,0.67,15.27,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,37.01,281.73,0.04,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,4,32KB,656.72,15.88,0.64,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,8,32KB,16873.79,0.62,16.48,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9386.14,1.11,9.17,10428,10428,10.18,0.49
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8582.72,1.22,8.38,10428,10428,10.18,1.05
/mnt/nvme0/test_dir_1KB_10428,64,32KB,7793.72,1.34,7.61,10428,10428,10.18,2.32
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7701.62,1.35,7.52,10428,10428,10.18,4.49
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7948.17,1.31,7.76,10428,10428,10.18,8.38
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7400.99,1.41,7.23,10428,10428,10.18,18.15
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,6956.64,1.50,6.79,10428,10428,10.18,36.74
/mnt/nvme0/test_dir_1KB_10428,1,32KB,19063.99,0.55,18.62,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,18104.17,0.58,17.68,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,32485.98,0.32,31.72,10428,10428,10.18,0.04
/mnt/nvme0/test_dir_1KB_10428,8,32KB,18857.14,0.55,18.42,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9377.70,1.11,9.16,10428,10428,10.18,0.48
/mnt/nvme0/test_dir_1KB_10428,32,32KB,10501.51,0.99,10.26,10428,10428,10.18,0.84
/mnt/nvme0/test_dir_1KB_10428,64,32KB,11093.62,0.94,10.83,10428,10428,10.18,1.55
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7776.29,1.34,7.59,10428,10428,10.18,4.63
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7684.60,1.36,7.50,10428,10428,10.18,9.15
/mnt/nvme0/test_dir_1KB_10428,512,32KB,5881.56,1.77,5.74,10428,10428,10.18,20.55
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,5508.72,1.89,5.38,10428,10428,10.18,42.13
/mnt/nvme0/test_dir_1KB_10428,1,32KB,3291.67,3.17,3.21,10428,10428,10.18,0.15
/mnt/nvme0/test_dir_1KB_10428,2,32KB,5723.38,1.82,5.59,10428,10428,10.18,0.17
/mnt/nvme0/test_dir_1KB_10428,4,32KB,5147.09,2.03,5.03,10428,10428,10.18,0.38
/mnt/nvme0/test_dir_1KB_10428,8,32KB,5615.51,1.86,5.48,10428,10428,10.18,0.69
/mnt/nvme0/test_dir_1KB_10428,16,32KB,10417.58,1.00,10.17,10428,10428,10.18,0.65
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8315.79,1.25,8.12,10428,10428,10.18,1.10
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8211.02,1.27,8.02,10428,10428,10.18,2.21
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7735.91,1.35,7.55,10428,10428,10.18,4.50
/mnt/nvme0/test_dir_1KB_10428,256,32KB,8498.78,1.23,8.30,10428,10428,10.18,7.73
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7354.02,1.42,7.18,10428,10428,10.18,17.84
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7055.48,1.48,6.89,10428,10428,10.18,35.69
/mnt/nvme0/test_dir_1KB_10428,1,32KB,19675.47,0.53,19.21,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,22620.39,0.46,22.09,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,25310.68,0.41,24.72,10428,10428,10.18,0.04
/mnt/nvme0/test_dir_1KB_10428,8,32KB,19675.47,0.53,19.21,10428,10428,10.18,0.11
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9637.71,1.08,9.41,10428,10428,10.18,0.47
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8540.54,1.22,8.34,10428,10428,10.18,1.07
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8335.73,1.25,8.14,10428,10428,10.18,2.01
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8185.24,1.27,7.99,10428,10428,10.18,4.32
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7730.17,1.35,7.55,10428,10428,10.18,9.07
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7437.95,1.40,7.26,10428,10428,10.18,18.24
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7098.71,1.47,6.93,10428,10428,10.18,34.97
/mnt/nvme0/test_dir_1KB_10428,1,32KB,20981.89,0.50,20.49,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,17948.36,0.58,17.53,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,5015.87,2.08,4.90,10428,10428,10.18,0.39
/mnt/nvme0/test_dir_1KB_10428,8,32KB,6214.54,1.68,6.07,10428,10428,10.18,0.62
/mnt/nvme0/test_dir_1KB_10428,16,32KB,8127.83,1.28,7.94,10428,10428,10.18,0.95
/mnt/nvme0/test_dir_1KB_10428,32,32KB,7122.95,1.46,6.96,10428,10428,10.18,1.82
