测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,2,8KB,2777.24,47.20,21.70,1024,131072,1024.00,0.69
/mnt/beegfs/test_dir_1MB_1024,2,16KB,2685.79,24.40,41.97,1024,65536,1024.00,0.71
/mnt/beegfs/test_dir_1MB_1024,2,32KB,2492.81,13.14,77.90,1024,32768,1024.00,0.77
/mnt/beegfs/test_dir_1MB_1024,2,64KB,2405.87,6.81,150.37,1024,16384,1024.00,0.79
/mnt/beegfs/test_dir_1MB_1024,2,128KB,2273.03,3.60,284.13,1024,8192,1024.00,0.84
/mnt/beegfs/test_dir_1MB_1024,2,256KB,2052.10,2.00,513.03,1024,4096,1024.00,0.92
/mnt/beegfs/test_dir_1MB_1024,2,512KB,1659.64,1.23,829.82,1024,2048,1024.00,1.14
/mnt/beegfs/test_dir_1MB_1024,2,1MB,910.22,1.12,910.22,1024,1024,1024.00,2.10
/mnt/beegfs/test_dir_1MB_1024,4,512B,5639.39,371.88,2.75,1024,2097152,1024.00,0.65
/mnt/beegfs/test_dir_1MB_1024,4,1KB,5585.38,187.74,5.45,1024,1048576,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,4,2KB,5592.64,93.75,10.92,1024,524288,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,4,4KB,5127.21,51.13,20.03,1024,262144,1024.00,0.72
/mnt/beegfs/test_dir_1MB_1024,4,8KB,5171.92,25.34,40.41,1024,131072,1024.00,0.72
/mnt/beegfs/test_dir_1MB_1024,4,16KB,5028.08,13.03,78.56,1024,65536,1024.00,0.73
/mnt/beegfs/test_dir_1MB_1024,4,32KB,4843.04,6.77,151.34,1024,32768,1024.00,0.77
/mnt/beegfs/test_dir_1MB_1024,4,64KB,4566.33,3.59,285.40,1024,16384,1024.00,0.81
/mnt/beegfs/test_dir_1MB_1024,4,128KB,4255.58,1.93,531.95,1024,8192,1024.00,0.88
/mnt/beegfs/test_dir_1MB_1024,4,256KB,3968.99,1.03,992.25,1024,4096,1024.00,0.94
/mnt/beegfs/test_dir_1MB_1024,4,512KB,3205.01,0.64,1602.50,1024,2048,1024.00,1.16
/mnt/beegfs/test_dir_1MB_1024,4,1MB,1835.13,0.56,1835.13,1024,1024,1024.00,2.08
/mnt/beegfs/test_dir_1MB_1024,8,512B,7697.07,272.46,3.76,1024,2097152,1024.00,0.92
/mnt/beegfs/test_dir_1MB_1024,8,1KB,7640.96,137.23,7.46,1024,1048576,1024.00,0.92
/mnt/beegfs/test_dir_1MB_1024,8,2KB,7450.98,70.36,14.55,1024,524288,1024.00,0.95
/mnt/beegfs/test_dir_1MB_1024,8,4KB,7776.22,33.71,30.38,1024,262144,1024.00,0.91
/mnt/beegfs/test_dir_1MB_1024,8,8KB,7239.95,18.10,56.56,1024,131072,1024.00,0.99
/mnt/beegfs/test_dir_1MB_1024,8,16KB,7365.25,8.90,115.08,1024,65536,1024.00,0.97
/mnt/beegfs/test_dir_1MB_1024,8,32KB,7006.20,4.68,218.94,1024,32768,1024.00,1.02
/mnt/beegfs/test_dir_1MB_1024,8,64KB,6649.35,2.46,415.58,1024,16384,1024.00,1.08
/mnt/beegfs/test_dir_1MB_1024,8,128KB,6627.83,1.24,828.48,1024,8192,1024.00,1.07
/mnt/beegfs/test_dir_1MB_1024,8,256KB,5927.64,0.69,1481.91,1024,4096,1024.00,1.21
/mnt/beegfs/test_dir_1MB_1024,8,512KB,5158.69,0.40,2579.35,1024,2048,1024.00,1.38
/mnt/beegfs/test_dir_1MB_1024,8,1MB,3150.77,0.33,3150.77,1024,1024,1024.00,2.38
/mnt/beegfs/test_dir_1MB_1024,16,512B,7280.08,288.07,3.55,1024,2097152,1024.00,1.80
/mnt/beegfs/test_dir_1MB_1024,16,1KB,7309.44,143.46,7.14,1024,1048576,1024.00,1.79
/mnt/beegfs/test_dir_1MB_1024,16,2KB,7248.66,72.33,14.16,1024,524288,1024.00,1.80
/mnt/beegfs/test_dir_1MB_1024,16,4KB,7226.77,36.27,28.23,1024,262144,1024.00,1.81
/mnt/beegfs/test_dir_1MB_1024,16,8KB,7098.79,18.46,55.46,1024,131072,1024.00,1.86
/mnt/beegfs/test_dir_1MB_1024,16,16KB,6985.29,9.38,109.15,1024,65536,1024.00,1.91
/mnt/beegfs/test_dir_1MB_1024,16,32KB,7037.80,4.66,219.93,1024,32768,1024.00,1.87
/mnt/beegfs/test_dir_1MB_1024,16,64KB,6736.84,2.43,421.05,1024,16384,1024.00,1.96
/mnt/beegfs/test_dir_1MB_1024,16,128KB,6173.32,1.33,771.67,1024,8192,1024.00,2.13
/mnt/beegfs/test_dir_1MB_1024,16,256KB,6032.40,0.68,1508.10,1024,4096,1024.00,2.08
/mnt/beegfs/test_dir_1MB_1024,16,512KB,5953.49,0.34,2976.74,1024,2048,1024.00,2.08
/mnt/beegfs/test_dir_1MB_1024,16,1MB,4284.52,0.24,4284.52,1024,1024,1024.00,3.39
/mnt/beegfs/test_dir_1MB_1024,32,512B,7026.79,298.45,3.43,1024,2097152,1024.00,3.61
/mnt/beegfs/test_dir_1MB_1024,32,1KB,7145.71,146.74,6.98,1024,1048576,1024.00,3.51
/mnt/beegfs/test_dir_1MB_1024,32,2KB,7133.95,73.49,13.93,1024,524288,1024.00,3.51
/mnt/beegfs/test_dir_1MB_1024,32,4KB,7164.17,36.59,27.99,1024,262144,1024.00,3.48
/mnt/beegfs/test_dir_1MB_1024,32,8KB,7016.70,18.68,54.82,1024,131072,1024.00,3.60
/mnt/beegfs/test_dir_1MB_1024,32,16KB,6919.65,9.47,108.12,1024,65536,1024.00,3.64
/mnt/beegfs/test_dir_1MB_1024,32,32KB,6917.46,4.74,216.17,1024,32768,1024.00,3.62
/mnt/beegfs/test_dir_1MB_1024,32,64KB,6869.60,2.38,429.35,1024,16384,1024.00,3.55
/mnt/beegfs/test_dir_1MB_1024,32,128KB,6445.32,1.27,805.66,1024,8192,1024.00,3.66
/mnt/beegfs/test_dir_1MB_1024,32,256KB,6014.68,0.68,1503.67,1024,4096,1024.00,3.69
/mnt/beegfs/test_dir_1MB_1024,32,512KB,5550.14,0.37,2775.07,1024,2048,1024.00,3.73
/mnt/beegfs/test_dir_1MB_1024,32,1MB,4162.60,0.25,4162.60,1024,1024,1024.00,6.59
/mnt/beegfs/test_dir_1MB_1024,64,512B,6803.68,308.24,3.32,1024,2097152,1024.00,7.57
/mnt/beegfs/test_dir_1MB_1024,64,1KB,6822.58,153.69,6.66,1024,1048576,1024.00,7.49
/mnt/beegfs/test_dir_1MB_1024,64,2KB,6791.74,77.19,13.27,1024,524288,1024.00,7.53
/mnt/beegfs/test_dir_1MB_1024,64,4KB,6791.30,38.60,26.53,1024,262144,1024.00,7.51
/mnt/beegfs/test_dir_1MB_1024,64,8KB,6886.93,19.03,53.80,1024,131072,1024.00,7.29
/mnt/beegfs/test_dir_1MB_1024,64,16KB,6925.50,9.46,108.21,1024,65536,1024.00,7.15
/mnt/beegfs/test_dir_1MB_1024,64,32KB,6902.89,4.75,215.72,1024,32768,1024.00,7.00
/mnt/beegfs/test_dir_1MB_1024,64,64KB,6809.64,2.41,425.60,1024,16384,1024.00,6.96
/mnt/beegfs/test_dir_1MB_1024,64,128KB,6267.79,1.31,783.47,1024,8192,1024.00,7.40
/mnt/beegfs/test_dir_1MB_1024,64,256KB,5785.31,0.71,1446.33,1024,4096,1024.00,7.19
/mnt/beegfs/test_dir_1MB_1024,64,512KB,5305.70,0.39,2652.85,1024,2048,1024.00,7.09
/mnt/beegfs/test_dir_1MB_1024,64,1MB,3968.99,0.26,3968.99,1024,1024,1024.00,10.13
/mnt/beegfs/test_dir_1MB_1024,128,512B,6846.48,306.31,3.34,1024,2097152,1024.00,14.78
/mnt/beegfs/test_dir_1MB_1024,128,1KB,6842.30,153.25,6.68,1024,1048576,1024.00,14.74
/mnt/beegfs/test_dir_1MB_1024,128,2KB,6859.63,76.43,13.40,1024,524288,1024.00,14.62
/mnt/beegfs/test_dir_1MB_1024,128,4KB,6907.98,37.95,26.98,1024,262144,1024.00,14.28
/mnt/beegfs/test_dir_1MB_1024,128,8KB,6934.29,18.90,54.17,1024,131072,1024.00,14.20
/mnt/beegfs/test_dir_1MB_1024,128,16KB,7130.45,9.19,111.41,1024,65536,1024.00,13.16
/mnt/beegfs/test_dir_1MB_1024,128,32KB,6965.99,4.70,217.69,1024,32768,1024.00,13.33
/mnt/beegfs/test_dir_1MB_1024,128,64KB,6775.85,2.42,423.49,1024,16384,1024.00,13.23
/mnt/beegfs/test_dir_1MB_1024,128,128KB,6395.00,1.28,799.38,1024,8192,1024.00,13.53
/mnt/beegfs/test_dir_1MB_1024,128,256KB,5769.01,0.71,1442.25,1024,4096,1024.00,13.24
/mnt/beegfs/test_dir_1MB_1024,128,512KB,4501.10,0.46,2250.55,1024,2048,1024.00,15.29
/mnt/beegfs/test_dir_1MB_1024,128,1MB,3494.88,0.29,3494.88,1024,1024,1024.00,19.81
/mnt/beegfs/test_dir_1MB_1024,256,512B,6846.19,306.32,3.34,1024,2097152,1024.00,29.34
/mnt/beegfs/test_dir_1MB_1024,256,1KB,6799.44,154.22,6.64,1024,1048576,1024.00,29.66
/mnt/beegfs/test_dir_1MB_1024,256,2KB,6829.25,76.77,13.34,1024,524288,1024.00,29.15
/mnt/beegfs/test_dir_1MB_1024,256,4KB,6957.30,37.68,27.18,1024,262144,1024.00,28.05
/mnt/beegfs/test_dir_1MB_1024,256,8KB,6914.54,18.96,54.02,1024,131072,1024.00,27.66
/mnt/beegfs/test_dir_1MB_1024,256,16KB,6981.57,9.39,109.09,1024,65536,1024.00,26.57
/mnt/beegfs/test_dir_1MB_1024,256,32KB,6876.81,4.76,214.90,1024,32768,1024.00,26.29
/mnt/beegfs/test_dir_1MB_1024,256,64KB,6611.78,2.48,413.24,1024,16384,1024.00,26.39
/mnt/beegfs/test_dir_1MB_1024,256,128KB,5988.30,1.37,748.54,1024,8192,1024.00,27.64
/mnt/beegfs/test_dir_1MB_1024,256,256KB,4887.83,0.84,1221.96,1024,4096,1024.00,30.67
/mnt/beegfs/test_dir_1MB_1024,256,512KB,4257.80,0.48,2128.90,1024,2048,1024.00,28.39
/mnt/beegfs/test_dir_1MB_1024,256,1MB,2745.31,0.37,2745.31,1024,1024,1024.00,37.69
/mnt/beegfs/test_dir_1MB_1024,512,512B,6825.47,307.25,3.33,1024,2097152,1024.00,58.69
/mnt/beegfs/test_dir_1MB_1024,512,1KB,6783.08,154.59,6.62,1024,1048576,1024.00,59.05
/mnt/beegfs/test_dir_1MB_1024,512,2KB,6838.51,76.67,13.36,1024,524288,1024.00,57.33
/mnt/beegfs/test_dir_1MB_1024,512,4KB,6896.53,38.01,26.94,1024,262144,1024.00,55.80
/mnt/beegfs/test_dir_1MB_1024,512,8KB,6987.53,18.76,54.59,1024,131072,1024.00,53.43
/mnt/beegfs/test_dir_1MB_1024,512,16KB,6878.98,9.53,107.48,1024,65536,1024.00,52.93
/mnt/beegfs/test_dir_1MB_1024,512,32KB,6579.92,4.98,205.62,1024,32768,1024.00,54.00
/mnt/beegfs/test_dir_1MB_1024,512,64KB,6303.96,2.60,394.00,1024,16384,1024.00,52.57
/mnt/beegfs/test_dir_1MB_1024,512,128KB,5673.13,1.44,709.14,1024,8192,1024.00,52.32
/mnt/beegfs/test_dir_1MB_1024,512,256KB,4535.99,0.90,1134.00,1024,4096,1024.00,60.16
/mnt/beegfs/test_dir_1MB_1024,512,512KB,3611.99,0.57,1806.00,1024,2048,1024.00,62.48
/mnt/beegfs/test_dir_1MB_1024,512,1MB,2270.51,0.45,2270.51,1024,1024,1024.00,78.39
/mnt/beegfs/test_dir_1MB_1024,1024,512B,6828.71,307.11,3.33,1024,2097152,1024.00,115.72
/mnt/beegfs/test_dir_1MB_1024,1024,1KB,6900.71,151.95,6.74,1024,1048576,1024.00,113.17
/mnt/beegfs/test_dir_1MB_1024,1024,2KB,6983.80,75.07,13.64,1024,524288,1024.00,109.48
/mnt/beegfs/test_dir_1MB_1024,1024,4KB,7072.74,37.06,27.63,1024,262144,1024.00,105.03
/mnt/beegfs/test_dir_1MB_1024,1024,8KB,7101.09,18.46,55.48,1024,131072,1024.00,101.03
/mnt/beegfs/test_dir_1MB_1024,1024,16KB,6889.10,9.51,107.64,1024,65536,1024.00,102.14
/mnt/beegfs/test_dir_1MB_1024,1024,32KB,6771.65,4.84,211.61,1024,32768,1024.00,97.94
/mnt/beegfs/test_dir_1MB_1024,1024,64KB,87.06,188.19,5.44,1024,16384,1024.00,11052.94
/mnt/beegfs/test_dir_1MB_1024,1024,128KB,12982.57,0.63,1622.82,1024,8192,1024.00,30.83
