测试目录,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_1MB_1024,64KB,1420.67,0.72,1420.67,1024,1024,1024.00,0.70
/mnt/beegfs/test_dir_1MB_1024,128KB,1329.18,0.77,1329.18,1024,1024,1024.00,0.75
/mnt/beegfs/test_dir_1MB_1024,256KB,1231.20,0.83,1231.20,1024,1024,1024.00,0.81
/mnt/beegfs/test_dir_1MB_1024,512KB,1035.91,0.99,1035.91,1024,1024,1024.00,0.97
/mnt/beegfs/test_dir_1MB_1024,512B,1662.09,0.62,1662.09,1024,1024,1024.00,0.60
/mnt/beegfs/test_dir_1MB_1024,1KB,1756.29,0.58,1756.29,1024,1024,1024.00,0.57
/mnt/beegfs/test_dir_1MB_1024,2KB,1719.68,0.60,1719.68,1024,1024,1024.00,0.58
/mnt/beegfs/test_dir_1MB_1024,4KB,1696.23,0.60,1696.23,1024,1024,1024.00,0.59
/mnt/beegfs/test_dir_1MB_1024,8KB,1569.26,0.65,1569.26,1024,1024,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,16KB,1705.03,0.60,1705.03,1024,1024,1024.00,0.59
/mnt/beegfs/test_dir_1MB_1024,32KB,1377.60,0.74,1377.60,1024,1024,1024.00,0.73
/mnt/beegfs/test_dir_1MB_1024,64KB,1400.39,0.73,1400.39,1024,1024,1024.00,0.71
/mnt/beegfs/test_dir_1MB_1024,128KB,1352.50,0.76,1352.50,1024,1024,1024.00,0.74
/mnt/beegfs/test_dir_1MB_1024,256KB,1220.67,0.84,1220.67,1024,1024,1024.00,0.82
/mnt/beegfs/test_dir_1MB_1024,512KB,1057.58,0.97,1057.58,1024,1024,1024.00,0.95
/mnt/beegfs/test_dir_1MB_1024,512B,1784.60,0.57,1784.60,1024,1024,1024.00,0.56
/mnt/beegfs/test_dir_1MB_1024,1KB,1734.44,0.59,1734.44,1024,1024,1024.00,0.58
/mnt/beegfs/test_dir_1MB_1024,2KB,1576.82,0.65,1576.82,1024,1024,1024.00,0.63
/mnt/beegfs/test_dir_1MB_1024,4KB,1560.42,0.66,1560.42,1024,1024,1024.00,0.64
/mnt/beegfs/test_dir_1MB_1024,8KB,1534.58,0.67,1534.58,1024,1024,1024.00,0.65
/mnt/beegfs/test_dir_1MB_1024,16KB,1519.70,0.67,1519.70,1024,1024,1024.00,0.66
/mnt/beegfs/test_dir_1MB_1024,32KB,1474.89,0.69,1474.89,1024,1024,1024.00,0.68
/mnt/beegfs/test_dir_1MB_1024,64KB,1358.48,0.75,1358.48,1024,1024,1024.00,0.74
/mnt/beegfs/test_dir_1MB_1024,128KB,1322.11,0.77,1322.11,1024,1024,1024.00,0.76
/mnt/beegfs/test_dir_1MB_1024,256KB,1213.24,0.84,1213.24,1024,1024,1024.00,0.82
/mnt/beegfs/test_dir_1MB_1024,512KB,1067.93,0.96,1067.93,1024,1024,1024.00,0.94
/mnt/beegfs/test_dir_1MB_1024,512B,1755.81,0.58,1755.81,1024,1024,1024.00,0.57
/mnt/beegfs/test_dir_1MB_1024,1KB,1708.52,0.60,1708.52,1024,1024,1024.00,0.59
