IOSize (KB),Threads,Throughput (GiB/sec),IOPS
8,64,0.169855,22263.23456
8,128,0.08849,11598.56128
8,256,0.037641,4933.681152
16,1,0.031113,2039.021568
16,2,0.055798,3656.777728
16,4,0.10446,6845.89056
16,8,0.230552,15109.455872
16,16,0.355878,23322.820608
16,32,0.367911,24111.415296
16,64,0.3015,19759.104
16,128,0.15837,10378.93632
16,255,0.068673,4500.553728
0.5,1,0.000912,1912.602624
0.5,2,0.001706,3577.741312
0.5,4,0.003373,7073.693696
0.5,8,0.006425,13474.2016
0.5,16,0.014158,29691.478016
0.5,32,0.014037,29437.722624
0.5,64,0.012128,25434.259456
0.5,128,0.008544,17918.066688
0.5,256,0.000356,746.586112
1,1,0.001974,2069.889024
1,2,0.003393,3557.818368
1,4,0.00667,6994.00192
1,8,0.013489,14144.241664
1,16,0.026635,27928.82176
1,32,0.031234,32751.222784
1,64,0.023512,24654.118912
1,128,0.01423,14921.23648
1,256,0.000747,783.286272
2,1,0.004772,2501.902336
2,2,0.006467,3390.570496
2,4,0.012953,6791.102464
2,8,0.025649,13447.462912
2,16,0.051997,27261.403136
2,32,0.064467,33799.274496
2,64,0.046779,24525.668352
2,128,0.025163,13192.658944
2,256,0.001444,757.071872
4,1,0.012097,3171.155968
4,2,0.023791,6236.667904
4,4,0.0479,12556.6976
4,8,0.059849,15689.056256
4,16,0.104294,27340.046336
4,32,0.105445,27641.77408
4,64,0.090031,23601.086464
4,128,0.048839,12802.850816
4,256,0.022447,5884.346368
8,1,0.023494,3079.405568
8,2,0.04473,5862.85056
8,4,0.102757,13468.565504
8,8,0.157662,20665.073664
8,16,0.193799,25401.622528
8,32,0.19916,26104.29952
8,64,0.169055,22158.37696
8,128,0.090521,11864.768512
8,256,0.040729,5338.431488
16,1,0.032099,2103.640064
16,2,0.055853,3660.382208
16,4,0.104701,6861.684736
16,8,0.215003,14090.436608
16,16,0.370677,24292.687872
16,32,0.384047,25168.904192
16,64,0.304584,19961.217024
16,128,0.154916,10152.574976
16,256,0.067318,4411.752448
0.5,1,0.000894,1874.853888
0.5,2,0.001741,3651.141632
0.5,4,0.003383,7094.665216
0.5,8,0.006477,13583.253504
0.5,16,0.012871,26992.443392
0.5,32,0.014696,30819.745792
0.5,64,0.011455,24022.87616
0.5,128,0.008596,18027.118592
0.5,256,0.000383,803.209216
1,1,0.001902,1994.391552
1,2,0.003452,3619.684352
1,4,0.006732,7059.013632
1,8,0.012844,13467.910144
1,16,0.028304,29678.895104
1,32,0.030693,32183.943168
1,64,0.024327,25508.708352
1,128,0.01451,15214.83776
1,256,0.000742,778.043392
2,1,0.004831,2532.835328
2,2,0.006864,3598.712832
2,4,0.01368,7172.25984
2,8,0.024267,12722.896896
2,16,0.053604,28103.933952
2,32,0.060274,31600.934912
2,64,0.047222,24757.927936
2,128,0.026055,13660.32384
2,256,0.001475,773.3248
4,1,0.012118,3176.660992
4,2,0.023852,6252.658688
4,4,0.049182,12892.766208
4,8,0.057195,14993.32608
4,16,0.105608,27684.503552
4,32,0.117595,30826.82368
4,64,0.093345,24469.83168
4,128,0.047611,12480.937984
4,256,0.022703,5951.455232
8,1,0.024025,3149.0048
8,2,0.036043,4724.228096
8,4,0.082278,10784.342016
8,8,0.155844,20426.784768
8,16,0.209203,27420.655616
8,32,0.248766,32606.257152
8,64,0.168952,22144.876544
8,128,0.09017,11818.76224
8,256,0.042583,5581.438976
16,1,0.031853,2087.518208
16,2,0.056976,3733.979136
16,4,0.102967,6748.045312
16,8,0.188971,12384.403456
16,16,0.342761,22463.184896
16,32,0.404751,26525.761536
16,64,0.292816,19189.989376
16,128,0.150957,9893.117952
16,256,0.066265,4342.74304
0.5,1,0.000931,1952.448512
0.5,2,0.001739,3646.947328
0.5,4,0.003374,7075.790848
0.5,8,0.007012,14705.229824
0.5,16,0.012412,26029.850624
0.5,32,0.014346,30085.742592
0.5,64,0.011655,24442.30656
0.5,128,0.008441,17702.060032
0.5,256,0.000371,778.043392
1,1,0.002037,2135.949312
1,2,0.003487,3656.384512
1,4,0.006929,7265.583104
1,8,0.014384,15082.717184
1,16,0.026579,27870.101504
1,32,0.029497,30929.846272
1,64,0.022292,23374.856192
1,128,0.014254,14946.402304
1,256,0.000748,784.334848
2,1,0.004789,2510.815232
2,2,0.007326,3840.933888
2,4,0.013773,7221.018624
2,8,0.025202,13213.106176
2,16,0.049781,26099.580928
2,32,0.063296,33185.333248
2,64,0.046973,24627.380224
2,128,0.025807,13530.300416
2,256,0.001501,786.956288
4,1,0.012303,3225.157632
4,2,0.025652,6724.517888
4,4,0.054118,14186.708992
4,8,0.053779,14097.842176
4,16,0.113984,29880.221696
4,32,0.113428,29734.469632
4,64,0.09932,26036.14208
4,128,0.047705,12505.57952
4,256,0.022781,5971.902464
8,1,0.021161,2773.614592
8,2,0.040289,5280.759808
8,4,0.096262,12617.252864
8,8,0.185019,24250.810368
8,16,0.205317,26911.309824
8,32,0.18983,24881.39776
8,64,0.175959,23063.298048
8,128,0.087595,11481.25184
8,256,0.039098,5124.653056
16,1,0.032492,2129.395712
16,2,0.052969,3471.376384
16,4,0.112404,7366.508544
16,8,0.174956,11465.916416
16,16,0.352573,23106.224128
16,32,0.437577,28677.046272
16,64,0.306071,20058.669056
16,128,0.153314,10047.586304
16,256,0.056965,3733.25824
0.5,1,0.000906,1900.019712
0.5,2,0.0018,3774.8736
0.5,4,0.003583,7514.095616
0.5,8,0.006871,14409.531392
0.5,16,0.013,27262.976
0.5,32,0.015191,31857.836032
0.5,64,0.011368,23840.423936
0.5,128,0.008472,17767.071744
0.5,256,0.000379,794.820608
1,1,0.001971,2066.743296
1,2,0.003424,3590.324224
1,4,0.006596,6916.407296
1,8,0.0128,13421.7728
1,16,0.022927,24040.701952
1,32,0.029958,31413.239808
1,64,0.023525,24667.7504
1,128,0.01408,14763.95008
1,256,0.000782,819.986432
2,1,0.004863,2549.612544
2,2,0.006456,3384.803328
2,4,0.013267,6955.728896
2,8,0.025434,13334.740992
2,16,0.05231,27425.50528
2,32,0.059302,31091.326976
2,64,0.045899,24064.294912
2,128,0.025576,13409.189888
2,256,0.001375,720.896
4,1,0.012598,3302.490112
4,2,0.023539,6170.607616
4,4,0.031344,8216.641536
4,8,0.062004,16253.976576
4,16,0.105853,27748.728832
4,32,0.112899,29595.795456
4,64,0.094075,24661.1968
4,128,0.0471,12346.9824
4,256,0.023207,6083.575808
8,1,0.025011,3278.241792
8,2,0.042307,5545.263104
8,4,0.083273,10914.758656
8,8,0.16859,22097.42848
8,16,0.186655,24465.24416
8,32,0.195671,25646.989312
8,64,0.160224,21000.880128
8,128,0.088192,11559.501824
8,256,0.04094,5366.08768
16,1,0.031068,2036.072448
16,2,0.056178,3681.681408
16,4,0.102157,6694.961152
16,8,0.195542,12815.040512
16,16,0.398247,26099.515392
16,32,0.427838,28038.791168
16,64,0.295399,19359.268864
16,128,0.155733,10206.117888
16,256,0.063075,4133.6832
0.5,1,0.000939,1969.225728
0.5,2,0.001727,3621.781504
0.5,4,0.003584,7516.192768
