Method,Directory,ThreadNum,IOSIZE,Total Time(s),IOPS,Throughput(GiB/sec),Filenum,Avg_latancy(ms)
GDS,Beegfs_test_dir_1MB_1024,128,1024KB,0.208467,4912.052,4.796926,1024,0.203581
GDS,Beegfs_test_dir_512B_10428,16,512B,0.357345,29181.870,0.013915,10428,0.034268
GDS,Beegfs_test_dir_1KB_10428,16,1KB,0.406995,25621.955,0.024435,10428,0.039029
GDS,Beegfs_test_dir_16KB_10428,256,16KB,0.919958,11335.303,0.172963,10428,0.088220
GDS,Beegfs_test_dir_1MB_1024,256,32KB,0.090608,11301.487,0.344894,1024,0.088484
GDS,Beegfs_test_dir_1MB_1024,256,64KB,0.091878,11145.216,0.680250,1024,0.089725
GDS,Beegfs_test_dir_1MB_1024,256,128KB,0.094845,10796.548,1.317938,1024,0.092622
GDS,Beegfs_test_dir_1MB_1024,256,256KB,0.099782,10262.385,2.505465,1024,0.097443
GDS,Beegfs_test_dir_1MB_1024,256,512KB,0.120759,8479.721,4.140489,1024,0.117928
GDS,Beegfs_test_dir_1MB_1024,256,1024KB,0.239407,4277.238,4.176990,1024,0.233796
GDS,Beegfs_test_dir_16KB_10428,256,16KB,0.918545,11352.736,0.173229,10428,0.088084
GDS,Beegfs_test_dir_1MB_1024,256,32KB,0.091068,11244.372,0.343151,1024,0.088933
GDS,Beegfs_test_dir_1MB_1024,256,64KB,0.091763,11159.192,0.681103,1024,0.089612
GDS,Beegfs_test_dir_1MB_1024,256,128KB,0.094627,10821.435,1.320976,1024,0.092409
GDS,Beegfs_test_dir_1MB_1024,256,256KB,0.100874,10151.326,2.478351,1024,0.098509
GDS,Beegfs_test_dir_1MB_1024,256,512KB,0.120643,8487.864,4.144465,1024,0.117815
GDS,Beegfs_test_dir_1MB_1024,256,1024KB,0.241249,4244.569,4.145087,1024,0.235595
