batch_size,worker_num,prefetch_factor,data_per,AVG_data,AVG_train
256,4,10,0.787704816,0.339158184,0.091406892
256,4,11,0.775591435,0.326917298,0.094589804
256,4,12,0.772720799,0.325025848,0.095599361
256,4,13,0.786057207,0.35094486,0.095517378
256,4,14,0.778824503,0.333758083,0.094782726
256,4,15,0.779437156,0.330083609,0.093406093
256,4,16,0.795377798,0.341711451,0.08791011
256,8,1,0.493455668,0.103133987,0.105869564
256,8,2,0.457638786,0.079976432,0.094782427
256,8,3,0.448709437,0.077916094,0.095728781
256,8,4,0.488164284,0.089610988,0.093956288
256,8,5,0.487154862,0.087738673,0.092365601
256,8,6,0.374638045,0.063886979,0.106642896
256,8,7,0.42226976,0.073476646,0.100527399
256,8,8,0.379488299,0.064813796,0.105978811
256,8,9,0.379410872,0.065916496,0.107817313
256,8,10,0.385711327,0.066876192,0.106507858
256,8,11,0.441608,0.078306095,0.099014278
256,8,12,0.492013479,0.086853682,0.089673356
256,8,13,0.414960253,0.07183858,0.101283013
256,8,14,0.413759328,0.071910638,0.101887591
256,8,15,0.483450881,0.087873613,0.093889657
256,8,16,0.433399821,0.075591344,0.098823459
256,16,1,0.443007585,0.088285834,0.111001576
256,16,2,0.383269681,0.072984868,0.117442061
256,16,3,0.337152152,0.060327469,0.118605006
256,16,4,0.396328517,0.084734613,0.129064317
256,16,5,0.409732231,0.096598335,0.139161334
256,16,6,0.394504241,0.091641805,0.140654316
256,16,7,0.398001998,0.079287202,0.119925873
256,16,8,0.315525113,0.062394857,0.135354402
256,16,9,0.35310658,0.076926054,0.140929002
256,16,10,0.339836157,0.073112885,0.142028687
256,16,11,0.354129374,0.075184373,0.137123272
256,16,12,0.374149995,0.079566063,0.133092132
256,16,13,0.430149984,0.107670354,0.14263851
256,16,14,0.396586714,0.084966823,0.129278435
256,16,15,0.32824903,0.061116289,0.125072498
256,16,16,0.331801761,0.069395393,0.139751757
256,32,1,0.545716151,0.132310278,0.110142282
256,32,2,0.530964491,0.140776798,0.124357312
256,32,3,0.494212572,0.145768423,0.149182437
256,32,4,0.584385037,0.167015006,0.118781165
256,32,5,0.53397418,0.155149647,0.135406812
256,32,6,0.5578696,0.175981854,0.139471531
256,32,7,0.614804326,0.200217855,0.125443248
256,32,8,0.603337436,0.185745221,0.122117692
256,32,9,0.598820681,0.192233118,0.128786386
256,32,10,0.48742351,0.124108759,0.130513261
256,32,11,0.51200677,0.128089797,0.12208228
256,32,12,0.594691148,0.174402826,0.118863396
256,32,13,0.599330036,0.186340075,0.124573885
256,32,14,0.569911972,0.160412419,0.121056346
256,32,15,0.453732089,0.100065797,0.120473591
256,32,16,0.596915663,0.178249158,0.120367831
512,1,1,0.963149687,4.082677196,0.156204102
512,1,2,0.961987625,3.948380185,0.156017921
512,1,3,0.962700365,4.027988252,0.156063608
512,1,4,0.962081739,3.981001199,0.156902098
512,1,5,0.963522656,4.002151756,0.151514722
512,1,6,0.962625823,4.023348565,0.156207468
512,1,7,0.962504895,4.013413322,0.156345545
512,1,8,0.962621411,4.022042948,0.156175927
512,1,9,0.962404403,4.006681279,0.156517959
512,1,10,0.962677127,4.044247398,0.156794969
512,1,11,0.962963449,4.067494827,0.156439978
512,1,12,0.962427394,4.007349393,0.156444592
512,1,13,0.961941597,3.958917674,0.156631217
512,1,14,0.964519138,4.084931598,0.15026855
512,1,15,0.965009111,4.321588965,0.156699288
512,1,16,0.963070679,4.083255614,0.15657403
512,2,1,0.920820992,1.871887371,0.160958739
512,2,2,0.920339618,1.805465221,0.156272799
512,2,3,0.920898149,1.819527051,0.156290854
512,2,4,0.919931384,1.835566446,0.159763289
512,2,5,0.918681314,1.810470567,0.160256975
512,2,6,0.919751433,1.802349698,0.157255509
512,2,7,0.920269879,1.80403679,0.156297707
512,2,8,0.919887124,1.794958746,0.156322774
512,2,9,0.9214503,1.832103327,0.156178979
512,2,10,0.927052344,1.985256064,0.156215317
512,2,11,0.919270782,1.836119091,0.161245697
512,2,12,0.920882846,1.878416225,0.161383119
512,2,13,0.920444344,1.810477766,0.156482841
512,2,14,0.920327954,1.813829992,0.157021794
512,2,15,0.920204949,1.810119353,0.156963475
512,2,16,0.918393279,1.809097982,0.160753087
512,4,1,0.836670812,0.844801346,0.164916375
512,4,2,0.815409856,0.690154744,0.156235251
512,4,3,0.796348539,0.663651443,0.169716625
512,4,4,0.80437291,0.640852938,0.155858302
512,4,5,0.794504773,0.636377391,0.164596263
512,4,6,0.80259114,0.649936653,0.159861289
512,4,7,0.81833988,0.740868676,0.164462585
512,4,8,0.80319949,0.691110265,0.169336328
512,4,9,0.801400639,0.660965831,0.163797463
512,4,10,0.821643113,0.720339088,0.156366474
512,4,11,0.829674482,0.762388234,0.15651219
512,4,12,0.812754175,0.697871545,0.160778667
512,4,13,0.805169678,0.680801864,0.164736514
512,4,14,0.806555475,0.704460789,0.168958103
512,4,15,0.804586047,0.695930186,0.169024145
512,4,16,0.831525,0.773519137,0.156722452
512,8,1,0.593740502,0.238355211,0.163091566
512,8,2,0.485932791,0.157789254,0.166924897
512,8,3,0.501905686,0.161329218,0.160104116
512,8,4,0.51845068,0.169401791,0.157344411
512,8,5,0.402641715,0.124351039,0.184486903
512,8,6,0.408258159,0.126605006,0.183505161
512,8,7,0.471097336,0.151248726,0.169807486
512,8,8,0.412311654,0.128155073,0.182665811
512,8,9,0.515334853,0.173105777,0.162803538
512,8,10,0.410721468,0.130296099,0.18694103
512,8,11,0.445183267,0.141175261,0.175941916
512,8,12,0.465935278,0.149707308,0.171597635
512,8,13,0.469910541,0.151102819,0.170453745
512,8,14,0.457076879,0.147813437,0.17557513
512,8,15,0.535532529,0.180302068,0.156376021
512,8,16,0.496494122,0.15880429,0.16104701
512,16,1,0.442095912,0.14766996,0.186352491
512,16,2,0.475421764,0.170347073,0.187960195
512,16,3,0.488701612,0.183900525,0.192403789
512,16,4,0.367806925,0.135104413,0.232219864
512,16,5,0.458773732,0.160815071,0.189717358
512,16,6,0.402755875,0.154689275,0.229387741
512,16,7,0.552183395,0.237909252,0.192942624
512,16,8,0.34553612,0.127151054,0.240830894
512,16,9,0.439144232,0.170175272,0.217340399
512,16,10,0.415321436,0.154917119,0.218088234
512,16,11,0.457947949,0.175044205,0.207191823
512,16,12,0.407952667,0.146013797,0.21190468
512,16,13,0.364237894,0.113241107,0.197657646
512,16,14,0.475872426,0.181145603,0.199514408
512,16,15,0.452097815,0.190497754,0.230866269
512,16,16,0.414357994,0.158509984,0.22403358
512,32,1,0.567154804,0.248827303,0.189901773
512,32,2,0.59284591,0.296736254,0.203792212
512,32,3,0.631086766,0.322322556,0.188419506
512,32,4,0.569706283,0.267056217,0.201705012
512,32,5,0.615986839,0.339100127,0.211398854
512,32,6,0.58161426,0.270842426,0.194831208
512,32,7,0.643462072,0.345548691,0.191466163
512,32,8,0.662657074,0.383147548,0.195051287
512,32,9,0.488883345,0.195577953,0.204472397
512,32,10,0.474265922,0.192927678,0.213864523
512,32,11,0.614441166,0.322019886,0.202065907
512,32,12,0.654471551,0.399524726,0.210929197
512,32,13,0.612241632,0.314936586,0.199462582
512,32,14,0.616143478,0.323020556,0.201241353
512,32,15,0.550789637,0.247937329,0.202211534
512,32,16,0.611658795,0.34331318,0.217968997
